epa_advantage,success_rate_advantage,rush_matchup_advantage,pass_matchup_advantage,red_zone_advantage,third_down_advantage,turnover_advantage,home_net_epa_per_play,away_net_epa_per_play,home_net_success_rate,away_net_success_rate,pace_differential,rest_differential,week
1,0.9000276020576033,0.6213813725603662,0.9196596004376558,0.5246869933881896,0.716130899814086,0.15921868984004084,0.25029174139568255,-0.24164726201464296,0.2252407317831784,-0.22326901073199254,0.05951264499942598,0.01664013619506768,0.0399619532125178
0.9000276020576033,1,0.6072249197999098,0.8162733502982765,0.4473679430548776,0.7200654142434001,0.17513482416083037,0.2595728939349198,-0.2377459218012883,0.23305757235401123,-0.21190461425107404,0.05523512068281039,0.008188656642364034,0.04766353936163467
0.6213813725603662,0.6072249197999098,1,0.3486576502334882,0.3769970655218752,0.45158313012568263,0.16669665554515475,0.1322178789433217,-0.12136275121125961,0.10211724160028728,-0.08341936407866798,0.2629588660081895,-0.00730335645153081,0.024031762949473835
0.9196596004376558,0.8162733502982765,0.3486576502334882,1,0.4794916205097596,0.7113065513231186,0.11103158732653082,0.22265720449433113,-0.21926777897511912,0.20461456270200923,-0.21103028605318522,0.03945229660445835,0.01667015056548658,0.039345512638190284
0.5246869933881896,0.4473679430548776,0.3769970655218752,0.4794916205097596,1,0.4097267430403899,0.08482032788273101,0.21496539712493354,-0.21573943030928977,0.21961938554520544,-0.22617084098290574,0.12768852153134927,0.019025768228177812,0.005395390507376632
0.716130899814086,0.7200654142434001,0.45158313012568263,0.7113065513231186,0.4097267430403899,1,0.17001877615330258,0.25994696991508537,-0.22374019637544246,0.23029104831291003,-0.2010601274245864,0.14026737045454965,-0.0038518063498543774,0.03826038501189387
0.15921868984004084,0.17513482416083037,0.16669665554515475,0.11103158732653082,0.08482032788273101,0.17001877615330258,1,0.4144914480118056,-0.4484873392941205,0.23670657403933976,-0.2804475205429458,0.12306549930060076,0.023670297809121117,0.03562440811483807
0.25029174139568255,0.2595728939349198,0.1322178789433217,0.22265720449433113,0.21496539712493354,0.25994696991508537,0.4144914480118056,1,-0.04764209480636232,0.8837566763969318,-0.04750669847796057,0.2119692831414406,0.0556452049614335,0.10362421543623933
-0.24164726201464296,-0.2377459218012883,-0.12136275121125961,-0.21926777897511912,-0.21573943030928977,-0.22374019637544246,-0.4484873392941205,-0.04764209480636232,1,-0.026978149530919378,0.8793461792703773,-0.22045766601371752,0.03235497749638445,0.053124257111186096
0.2252407317831784,0.23305757235401123,0.10211724160028728,0.20461456270200923,0.21961938554520544,0.23029104831291003,0.23670657403933976,0.8837566763969318,-0.026978149530919378,1,-0.04788664130642701,0.15371659064828824,0.060138439721712074,0.08740512248803863
-0.22326901073199254,-0.21190461425107404,-0.08341936407866798,-0.21103028605318522,-0.22617084098290574,-0.2010601274245864,-0.2804475205429458,-0.04750669847796057,0.8793461792703773,-0.04788664130642701,1,-0.1733254875953149,0.02894057504997829,0.050550546340625085
0.05951264499942598,0.05523512068281039,0.2629588660081895,0.03945229660445835,0.12768852153134927,0.14026737045454965,0.12306549930060076,0.2119692831414406,-0.22045766601371752,0.15371659064828824,-0.1733254875953149,1,0.00852327441989633,9.43056635608953e-5
0.01664013619506768,0.008188656642364034,-0.00730335645153081,0.01667015056548658,0.019025768228177812,-0.0038518063498543774,0.023670297809121117,0.0556452049614335,0.03235497749638445,0.060138439721712074,0.02894057504997829,0.00852327441989633,1,0.037638974662268294
0.0399619532125178,0.04766353936163467,0.024031762949473835,0.039345512638190284,0.005395390507376632,0.03826038501189387,0.03562440811483807,0.10362421543623933,0.053124257111186096,0.08740512248803863,0.050550546340625085,9.43056635608953e-5,0.037638974662268294,1
